,Duration,Start date,End date,Start station number,Start station,End station number,End station,Bike number,Member type
253413,368,2019-04-22 18:16:13,2019-04-22 18:22:22,31253,19th & K St NW,31278,18th & R St NW,W21152,Member
61123,1512,2019-04-06 17:05:11,2019-04-06 17:30:23,31610,Eastern Market / 7th & North Carolina Ave SE,31223,Convention Center / 7th & M St NW,W00865,Member
109798,378,2019-04-10 09:38:34,2019-04-10 09:44:53,31500,4th & W St NE,31603,1st & M St NE,W21437,Member
335726,863,2019-04-29 21:14:20,2019-04-29 21:28:43,31404,9th & Upshur St NW,31124,14th & Irving St NW,W23445,Member
2476,198,2019-04-01 10:48:08,2019-04-01 10:51:27,31104,Adams Mill & Columbia Rd NW,31110,20th St & Florida Ave NW,W20212,Member
340117,858,2019-04-30 11:35:29,2019-04-30 11:49:47,31320,American University East Campus,31302,Wisconsin Ave & Newark St NW,W20621,Member
245738,1348,2019-04-22 08:16:42,2019-04-22 08:39:10,31254,15th & K St NW,31271,Constitution Ave & 2nd St NW/DOL,W22065,Member
270895,571,2019-04-24 07:42:50,2019-04-24 07:52:22,31233,17th & K St NW / Farragut Square,31260,23rd & E St NW ,W20245,Member
268647,716,2019-04-23 20:37:55,2019-04-23 20:49:51,31200,Massachusetts Ave & Dupont Circle NW,31268,12th & U St NW,W21265,Member
7120,497,2019-04-01 18:39:03,2019-04-01 18:47:21,31121,Calvert St & Woodley Pl NW,31324,18th & New Hampshire Ave NW,W23910,Member
37995,2732,2019-04-04 17:18:17,2019-04-04 18:03:49,31005,Pentagon City Metro / 12th St & S Hayes St,31623,Columbus Circle / Union Station,W24031,Member
68925,554,2019-04-07 09:03:39,2019-04-07 09:12:53,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31712,Oklahoma Ave & D St NE,77450,Member
238970,1002,2019-04-21 14:55:23,2019-04-21 15:12:05,32411,Northwestern High School,32411,Northwestern High School,W24204,Member
281147,3379,2019-04-24 19:29:38,2019-04-24 20:25:57,31402,14th St Heights / 14th & Crittenden St NW,31077,Iwo Jima Memorial / Meade & 14th St N,W00333,Casual
101345,490,2019-04-09 17:25:35,2019-04-09 17:33:46,31014,Lynn St & 19th St North,31295,Potomac & M St NW,W23620,Member
185274,204,2019-04-17 05:17:53,2019-04-17 05:21:18,31223,Convention Center / 7th & M St NW,31251,12th & L St NW,W21079,Member
229091,190,2019-04-20 17:14:46,2019-04-20 17:17:57,31288,4th St & Madison Dr NW,31288,4th St & Madison Dr NW,W21375,Member
138304,424,2019-04-12 17:56:06,2019-04-12 18:03:10,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31647,7th St & Massachusetts Ave NE,W23194,Member
220624,684,2019-04-20 10:27:53,2019-04-20 10:39:18,31128,23rd & M St NW,31201,15th & P St NW,W22364,Casual
135480,1071,2019-04-12 12:40:52,2019-04-12 12:58:43,31282,16th & R St NW,31216,14th St & New York Ave NW,W23161,Member
332962,533,2019-04-29 17:35:42,2019-04-29 17:44:36,31115,Columbia Rd & Georgia Ave NW,31103,16th & Harvard St NW,W21593,Member
306551,393,2019-04-27 11:28:57,2019-04-27 11:35:30,31631,8th & F St NE,31517,Union Market,W00367,Member
83743,561,2019-04-08 08:06:37,2019-04-08 08:15:58,32046,River Rd & Landy Ln,32021,47th & Elm St,W24068,Member
162426,1765,2019-04-14 17:14:06,2019-04-14 17:43:31,31258,Lincoln Memorial,31246,M St & Pennsylvania Ave NW,W20334,Casual
46992,908,2019-04-05 17:16:21,2019-04-05 17:31:30,31221,18th & M St NW,31117,15th & Euclid St  NW,W23544,Member
282365,533,2019-04-24 21:33:05,2019-04-24 21:41:59,31236,37th & O St NW / Georgetown University,31014,Lynn St & 19th St North,W22081,Casual
85596,1594,2019-04-08 10:16:28,2019-04-08 10:43:02,31277,17th & G St NW,31611,13th & H St NE,W21219,Member
134586,167,2019-04-12 11:08:36,2019-04-12 11:11:24,31239,Rhode Island & Connecticut Ave NW,31203,14th & Rhode Island Ave NW,W21475,Member
34807,473,2019-04-04 13:28:06,2019-04-04 13:36:00,31245,7th & R St NW / Shaw Library,31203,14th & Rhode Island Ave NW,75442,Member
192724,418,2019-04-17 16:59:40,2019-04-17 17:06:39,31503,Florida Ave & R St NW,31653,7th & K St NW,W20156,Member
34177,1072,2019-04-04 12:23:37,2019-04-04 12:41:29,31323,Woodley Park Metro / Calvert St & Connecticut Ave NW,31225,C & O Canal & Wisconsin Ave NW,W22328,Member
54027,3879,2019-04-06 12:55:12,2019-04-06 13:59:52,31258,Lincoln Memorial,31129,15th St & Pennsylvania Ave NW,W23277,Casual
47792,2098,2019-04-05 18:45:34,2019-04-05 19:20:33,31111,10th & U St NW,31215,Georgetown Harbor / 30th St NW,W23538,Casual
18773,269,2019-04-03 08:38:29,2019-04-03 08:42:59,31627,3rd & M St NE,31623,Columbus Circle / Union Station,W21029,Member
115686,704,2019-04-10 18:08:21,2019-04-10 18:20:06,31018,Rhodes St & 16th St N,31024,Virginia Square Metro / Monroe St & 9th St N,W22859,Member
14939,876,2019-04-02 17:36:06,2019-04-02 17:50:42,31276,15th & L St NW,31624,North Capitol St & F St NW,W23638,Member
129266,967,2019-04-11 19:23:02,2019-04-11 19:39:09,31295,Potomac & M St NW,31286,11th & O St NW,W21830,Member
291545,249,2019-04-25 17:50:19,2019-04-25 17:54:28,32053,Medical Center Metro ,32027,Battery Ln & Trolley Trail,W23039,Member
319904,477,2019-04-28 13:28:59,2019-04-28 13:36:57,31612,D St & Maryland Ave NE,31607,13th & E St SE,W23323,Member
71255,529,2019-04-07 11:44:07,2019-04-07 11:52:57,31651,11th & Park Rd NW,31103,16th & Harvard St NW,W21727,Member
69916,580,2019-04-07 10:24:17,2019-04-07 10:33:57,31117,15th & Euclid St  NW,31200,Massachusetts Ave & Dupont Circle NW,W21438,Casual
302625,380,2019-04-26 18:55:09,2019-04-26 19:01:30,31281,8th & O St NW,31232,7th & F St NW / National Portrait Gallery,W00572,Member
52652,1286,2019-04-06 11:57:20,2019-04-06 12:18:46,31016,Clarendon Blvd & Pierce St,31225,C & O Canal & Wisconsin Ave NW,W20796,Member
146158,368,2019-04-13 13:58:24,2019-04-13 14:04:33,31021,Clarendon Blvd & N Fillmore St,31051,Arlington Blvd & N Queen St,W20022,Member
108548,652,2019-04-10 08:28:46,2019-04-10 08:39:39,31622,13th & D St NE,31643,1st & D St SE,W20564,Member
186045,886,2019-04-17 07:31:15,2019-04-17 07:46:01,31126,11th & Girard St NW,31255,24th & N St NW,W24081,Member
273012,418,2019-04-24 09:17:50,2019-04-24 09:24:48,31201,15th & P St NW,31233,17th & K St NW / Farragut Square,W21740,Member
167343,1380,2019-04-15 10:21:13,2019-04-15 10:44:14,31062,Roosevelt Island,31289,Henry Bacon Dr & Lincoln Memorial Circle NW,W00161,Member
231960,802,2019-04-20 20:17:18,2019-04-20 20:30:40,31212,21st & M St NW,31216,14th St & New York Ave NW,W23453,Member
219323,605,2019-04-20 07:37:36,2019-04-20 07:47:41,31519,1st & O St NW,31119,14th & Belmont St NW,W00033,Member
196907,740,2019-04-17 20:50:16,2019-04-17 21:02:36,31603,1st & M St NE,31500,4th & W St NE,W23883,Member
60163,518,2019-04-06 16:32:45,2019-04-06 16:41:23,31520,24th & R St NE / National Arboretum,31512,Neal St & Trinidad Ave NE,W20672,Member
